Year,Code,Name,Tested (n),R (n),I (n),S (n),R (%),I (%),S (%),Non-susceptible (R+I) (%)
2020,MTR,Metronidazol,1,1,0,0,100.0,0.0,0.0,100.0
2020,DOX,Doxycyclin,1434,1429,0,5,99.7,0.0,0.3,99.7
2020,ERY,Erythromycin,118,117,0,1,99.2,0.0,0.8,99.2
2020,CLI,Clindamycin,122,121,0,1,99.2,0.0,0.8,99.2
2020,OXA,Oxacillin,78,76,0,2,97.4,0.0,2.6,97.4
2020,CEC,Cefaclor,2181,2064,1,116,94.6,0.0,5.3,94.7
2020,PEN,Penicillin,83,80,1,2,96.4,1.2,2.4,97.6
2020,CLR,Clarithromycin,5,4,0,1,80.0,0.0,20.0,80.0
2020,TET,Tetracyclin,1854,1728,0,126,93.2,0.0,6.8,93.2
2020,VAN,Vancomycin,222,201,0,21,90.5,0.0,9.5,90.5
2020,CEZ,Cefazolin,2108,2013,36,59,95.5,1.7,2.8,97.2
2020,AZM,Azithromycin,6,5,0,1,83.3,0.0,16.7,83.3
2020,ROX,Roxithromycin,3,2,0,1,66.7,0.0,33.3,66.7
2020,MZL,Mezlocillin,238,177,36,25,74.4,15.1,10.5,89.5
2020,TPL,Teicoplanin,72,57,0,15,79.2,0.0,20.8,79.2
2020,CFR,Cefadroxil,444,302,15,127,68.0,3.4,28.6,71.4
2020,AMX,Amoxicillin,5162,4112,198,852,79.7,3.8,16.5,83.5
2020,AMP,Ampicillin,15604,11546,1055,3003,74.0,6.8,19.2,80.8
2020,LIZ,Linezolid,45,24,0,21,53.3,0.0,46.7,53.3
2021,MTR,Metronidazol,5,5,0,0,100.0,0.0,0.0,100.0
2021,DOX,Doxycyclin,1598,1592,0,6,99.6,0.0,0.4,99.6
2021,ERY,Erythromycin,120,112,0,8,93.3,0.0,6.7,93.3
2021,CLI,Clindamycin,129,119,0,10,92.2,0.0,7.8,92.2
2021,OXA,Oxacillin,82,79,0,3,96.3,0.0,3.7,96.3
2021,CEC,Cefaclor,1844,1801,0,43,97.7,0.0,2.3,97.7
2021,PEN,Penicillin,92,81,0,11,88.0,0.0,12.0,88.0
2021,CLR,Clarithromycin,5,5,0,0,100.0,0.0,0.0,100.0
2021,TET,Tetracyclin,1371,1263,0,108,92.1,0.0,7.9,92.1
2021,VAN,Vancomycin,244,217,0,27,88.9,0.0,11.1,88.9
2021,CEZ,Cefazolin,607,514,86,7,84.7,14.2,1.2,98.8
2021,AZM,Azithromycin,2,2,0,0,100.0,0.0,0.0,100.0
2021,ROX,Roxithromycin,2,2,0,0,100.0,0.0,0.0,100.0
2021,MZL,Mezlocillin,130,115,0,15,88.5,0.0,11.5,88.5
2021,TPL,Teicoplanin,71,52,0,19,73.2,0.0,26.8,73.2
2021,CFR,Cefadroxil,341,285,0,56,83.6,0.0,16.4,83.6
2021,AMX,Amoxicillin,5205,3782,100,1323,72.7,1.9,25.4,74.6
2021,MUP,Mupirocin,4,3,0,1,75.0,0.0,25.0,75.0
2021,AMP,Ampicillin,15352,11170,521,3661,72.8,3.4,23.8,76.2
2021,LIZ,Linezolid,59,41,0,18,69.5,0.0,30.5,69.5
2022,MTR,Metronidazol,1,1,0,0,100.0,0.0,0.0,100.0
2022,DOX,Doxycyclin,1710,1686,0,24,98.6,0.0,1.4,98.6
2022,ERY,Erythromycin,103,102,0,1,99.0,0.0,1.0,99.0
2022,CLI,Clindamycin,120,120,0,0,100.0,0.0,0.0,100.0
2022,OXA,Oxacillin,74,72,0,2,97.3,0.0,2.7,97.3
2022,CEC,Cefaclor,806,781,0,25,96.9,0.0,3.1,96.9
2022,PEN,Penicillin,96,93,0,3,96.9,0.0,3.1,96.9
2022,CLR,Clarithromycin,5,5,0,0,100.0,0.0,0.0,100.0
2022,TET,Tetracyclin,1199,1124,0,75,93.7,0.0,6.3,93.7
2022,VAN,Vancomycin,239,235,0,4,98.3,0.0,1.7,98.3
2022,CEZ,Cefazolin,831,689,135,7,82.9,16.2,0.8,99.2
2022,ROX,Roxithromycin,1,1,0,0,100.0,0.0,0.0,100.0
2022,MZL,Mezlocillin,125,115,1,9,92.0,0.8,7.2,92.8
2022,TPL,Teicoplanin,56,53,0,3,94.6,0.0,5.4,94.6
2022,CFR,Cefadroxil,344,283,1,60,82.3,0.3,17.4,82.6
2022,AMX,Amoxicillin,5532,4025,95,1412,72.8,1.7,25.5,74.5
2022,AMP,Ampicillin,15611,11848,451,3312,75.9,2.9,21.2,78.8
2022,LIZ,Linezolid,45,42,0,3,93.3,0.0,6.7,93.3
